id,github_url,github_raw_url,isBlob,isDataClass
1,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/asm/testdata/simple-coverage/Foo.java,https://raw.githubusercontent.com/eclipse/org.aspectj/370f291c359cd159c5f3f0abd6e9e53e81234a07/asm/testdata/simple-coverage/Foo.java,0,0
2,https://github.com/awsdocs/amazon-s3-developer-guide/blob/038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/GetObject.java,https://raw.githubusercontent.com/awsdocs/amazon-s3-developer-guide/038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/GetObject.java,0,0
3,https://github.com/eclipse/ice/blob/3f6e0265f5b476ff90a660397ce83992944142c4/utils/ICEDocCleaner/src/ICEDocCleaner.java,https://raw.githubusercontent.com/eclipse/ice/3f6e0265f5b476ff90a660397ce83992944142c4/utils/ICEDocCleaner/src/ICEDocCleaner.java,1,0
4,https://github.com/oracle/oci-java-sdk/blob/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/ListFaultDomainsExample.java,https://raw.githubusercontent.com/oracle/oci-java-sdk/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/ListFaultDomainsExample.java,0,0
5,https://github.com/alibaba/java-dns-cache-manipulator/blob/eab50ee5c27671f9159b55458301f9429b2fcc47/.mvn/wrapper/MavenWrapperDownloader.java,https://raw.githubusercontent.com/alibaba/java-dns-cache-manipulator/eab50ee5c27671f9159b55458301f9429b2fcc47/.mvn/wrapper/MavenWrapperDownloader.java,1,0
6,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/impl/duration/impl/PeriodFormatterData.java,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/impl/duration/impl/PeriodFormatterData.java,1,0
7,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/text/AlphabeticIndex.java,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/text/AlphabeticIndex.java,1,0
8,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/util/CompactCharArray.java,https://raw.githubusercontent.com/google/j2objc/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/util/CompactCharArray.java,1,0
9,https://github.com/apache/groovy/blob/00ee0547c00673a93e0843a9d72c8e4293d1efdb/benchmark/bench/ary.java,https://raw.githubusercontent.com/apache/groovy/00ee0547c00673a93e0843a9d72c8e4293d1efdb/benchmark/bench/ary.java,0,0
10,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java,https://raw.githubusercontent.com/alibaba/jstorm/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java,0,0
